20-5205488,5613435516
57-1067151,5129053709
36-3673599,4267241782
95-1831116,2218136536
54-1282616,1689563175
59-3649371,821870206
43-1152398,806268745
13-3433452,649355353
36-2586390,625669625
31-6044264,582508645
13-3615533,539225309
04-2775991,464356613
52-1384139,420989296
26-2303250,366181053
13-3030229,344179991
23-7124261,342102742
13-1624046,326453880
56-2379862,319264097
41-6031510,301856819
01-0679337,297436709
52-1497470,290503839
91-6013536,283945398
47-3522162,274341513
13-1941627,265119422
52-1388917,264390893
95-3135649,249591297
94-2816342,247061110
23-7343119,244699070
13-6213516,241948484
36-2597741,234837764
77-0440090,230032578
13-3170676,222850188
13-5562976,217713685
56-6037615,216140511
75-1785357,213425483
86-0348306,211703650
13-2574854,207097711
04-2382027,200534609
22-2604963,194702159
23-7222333,193309210
95-4191698,187687168
13-4129457,187317028
59-2116576,185355600
83-1740146,181891970
61-0661137,177571007
52-0880375,169926666
04-2518368,168594430
20-0049703,167911116
43-1880952,167005980
77-0097156,164711379
13-3871360,162150933
36-2167854,156710679
39-6036407,151763598
52-1086761,148524292
82-1078462,145248164
13-3191113,144358199
43-1208665,143704850
52-1638592,143512899
43-1243999,139345487
94-1730465,135320966
62-1049447,133978627
23-7379332,131841355
52-0591691,131582653
77-0485881,131095448
94-3362724,130699963
94-2221305,130006757
13-1632524,129392936
13-1946868,127046434
47-3681860,123385939
27-3523909,122989223
72-0956468,115175910
94-2418054,115008160
52-1733698,114796662
94-2487469,114460200
68-0412350,113927306
94-3087060,113601389
13-1635294,113428823
53-0204616,112838964
87-3137387,111875075
59-6150746,110893672
38-2410852,108871575
63-0288846,107396497
23-7181456,107287718
93-0785786,106442657
59-2274772,102476776
52-0882226,100752656
23-7069110,100583862
41-0736870,99959255
06-1063025,98816890
41-1750692,98266975
01-0391479,98048575
73-1184980,97549817
13-1624178,96963224
95-3302967,95186380
04-2562646,94729966
45-1063515,94581174
53-0210807,94041688
20-4023482,92759575
36-3186328,92087073
38-2926476,91679704
42-1772557,91596868
32-0362611,91574545
23-1716750,90990309
41-0907857,90055832
52-0591576,88183927
94-1156258,88151036
23-7250641,87623690
58-2368165,86770336
31-6027287,86220290
94-1196195,86158342
95-4703838,84084998
04-2261109,83599694
94-3297479,83393172
56-2173215,83275604
54-1150923,83224269
11-2137138,82249010
57-0751835,81411655
94-6070996,80523563
20-0234163,80252841
22-2712160,79760072
13-3412540,78427074
38-3333202,78067850
13-6193105,78027022
23-1657958,78022148
54-1327878,77700683
02-0784790,76416139
94-3096716,73591009
39-1384593,73386617
13-1656667,72520806
23-2290505,71821574
13-1932384,70712462
59-1480970,70595389
86-0212873,69502602
33-0047994,67720545
23-7204495,66637978
82-2167556,66214216
56-1071085,66162811
23-7056987,64870186
04-2535767,64025005
13-2617681,63579225
42-1315493,63354358
13-3669731,63268204
35-1074747,63172595
32-0033325,62997478
53-0167933,62637504
26-2034843,62350567
75-6037853,62212429
53-0196517,61913793
53-0212445,61470763
84-1568566,61228597
36-2166947,61228263
46-5014769,61079810
62-0988294,61069795
58-1562750,60531771
52-1328557,60183871
23-7092671,59802843
95-1696732,59499339
95-1661688,59371127
74-2712770,59155631
57-0214572,59150520
51-0202349,59028188
23-2555950,58435083
13-2926426,57885476
26-1140201,57812679
52-1573446,57441920
20-1037643,57326783
39-0773970,57263610
91-0826037,56239363
27-5316628,55978916
04-2678774,55977934
52-1290127,55782044
22-2804785,55764041
20-2121739,55633961
94-3199117,55310099
95-1816023,55301593
86-0814898,55152190
74-2543881,54969083
94-2762269,54565333
39-1249426,54333478
56-1380796,54285368
52-1379661,54050067
52-1273585,53231207
23-1370498,53085773
54-0907624,53064019
36-2712912,53057014
20-1082179,53037104
63-0821997,52998579
47-2042581,52923721
04-2297514,52802901
63-0931846,52753616
26-0086305,52627529
94-1575233,52376605
56-1366233,52323308
94-1399287,51941094
13-1837418,51839195
94-0836580,51611688
23-7326030,51499585
27-2479414,51375016
75-0808768,51265658
85-1398171,51204063
47-0458128,51197578
04-3512550,51134505
04-3519203,51082057
38-2877959,51066997
68-0376587,51004614
13-1866796,50273391
94-1498472,50148984
75-0808774,50059410
77-0568469,49953069
23-7245152,49652396
13-1673104,49574913
84-0520493,49555010
74-1394920,49258253
62-1411210,49123264
94-2161304,48725620
95-1881491,48662185
95-3443276,48603238
13-6082763,48559200
53-0225165,48480006
62-0983983,48397887
31-1594197,48021492
54-6053660,47988009
16-0758844,47780826
65-1203744,47620076
74-2355411,47488942
95-1690975,47479306
01-0564355,47434480
22-3646125,47349262
04-3005094,47265255
16-1541024,47200303
27-0989006,47168163
