,ein,org_name,city,state_code,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue
929,83-0396815,Project Healthy Children Inc,Westborough,MA,,,,,,,,,,,,,,,,,,,,8.0,,75.0,,,,,25.0,,,,,50.0,50.0,,,,,,100.0,,96.0,,,,,4.0,,,,,40.0,60.0,,,,,,0.0,196424.0,100.0,1.0,0.0,141526.0,196424.0,337950.0,WWW.PROJECTHEALTHYCHILDREN.ORG,2,5788977.0
930,83-1740146,United States Energy Foundation,SAN FRANCISCO,CA,11.0,9.090909090909092,27.27272727272727,18.181818181818183,,,,45.45454545454545,,,,,45.45454545454545,54.54545454545454,,,,,,4.0,,50.0,,,,,50.0,,,,,50.0,50.0,,,,,,105.0,11.428571428571429,16.19047619047619,11.428571428571429,,,,48.57142857142857,8.571428571428571,,3.8095238095238098,,73.33333333333333,24.761904761904763,1.9047619047619049,,,,,361393.75,359597.6,-0.4994888731181808,0.5555555555555556,0.4444444444444444,119620.19318181818,534119.0,13770140.0,WWW.EF.ORG,97,181891970.0
931,84-0432950,American Humane Association,Washington,DC,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,90.0,,,,,70.0,30.0,,,,,,95.0,3.1578947368421053,7.368421052631578,6.315789473684211,,1.0526315789473684,,77.89473684210526,4.2105263157894735,,,,74.73684210526315,25.26315789473684,,,,,,213549.75,353410.0,39.574502702243855,0.5555555555555556,0.4444444444444444,61575.38271604938,712344.0,7608855.0,WWW.AMERICANHUMANE.ORG,90,15524841.0
932,84-0520493,Mental Health Center of Boulder County Inc,Lafayette,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,2.191780821917808,1.095890410958904,5.47945205479452,,0.273972602739726,,64.93150684931507,3.8356164383561646,0.273972602739726,6.027397260273973,15.890410958904113,63.287671232876704,13.972602739726028,0.547945205479452,5.205479452054795,16.986301369863014,1.9178082191780823,58.63013698630137,240446.75,273373.6666666667,12.044655605697214,0.4285714285714285,0.5714285714285714,54669.31749049429,313656.0,30537969.0,WWW.MHPCOLORADO.ORG,533,49555010.0
933,84-0599572,Third Way Center Inc,Denver,CO,7.0,,,,,,,,,,7.0,,,,,100.0,,,,4.0,,,,,,,,,,100.0,,,,,100.0,,,,175.0,,,,,,,,,,100.0,0.0,,,,100.0,,,,198369.0,256065.0,22.531779040478003,0.3333333333333333,0.6666666666666666,36784.01746724891,256065.0,9076343.0,WWW.THIRDWAYCENTER.ORG,232,12672196.0
934,84-0611876,Native American Rights Fund,Boulder,CO,13.0,,,,,100.0,,,,,,,53.84615384615385,46.15384615384615,,,,,100.0,8.0,,,,,75.0,,25.0,,,,,25.0,75.0,,,,,100.0,50.0,2.0,0.0,2.0,,50.0,,34.0,12.0,,,,40.0,60.0,,,,,100.0,226318.4,223814.0,-1.1189648547454558,0.5454545454545454,0.4545454545454545,119554.10416666669,278327.0,8213073.0,WWW.NARF.ORG,59,17548546.0
935,84-0951575,Colorado Coalition for the Homeless,Denver,CO,23.0,,13.043478260869565,8.695652173913043,,,,78.26086956521739,,,,,34.78260869565217,65.21739130434783,0.0,0.0,0.0,,,9.0,0.0,11.11111111111111,22.22222222222222,,0.0,,55.55555555555556,11.11111111111111,,0.0,0.0,55.55555555555556,44.44444444444444,0.0,0.0,0.0,,,700.0,2.0,10.714285714285714,21.428571428571427,,2.857142857142857,,55.85714285714286,7.142857142857142,,0.0,0.0,57.14285714285714,40.14285714285714,2.7142857142857144,0.0,0.0,,,222062.2,281244.3333333333,21.042960272977343,0.6428571428571429,0.3571428571428571,53988.049126637554,415767.0,53094563.0,WWW.COLORADOCOALITION.ORG,930,122412715.0
936,84-1052916,Colorado Springs Independence Center,Colorado Springs,CO,8.0,,,,,,,,,,,,25.0,75.0,,,,,,7.0,,,,,,,85.71428571428571,,,,14.285714285714285,57.14285714285714,28.57142857142857,,,14.285714285714285,,,286.0,3.146853146853147,9.44055944055944,15.734265734265737,,1.7482517482517483,,66.08391608391608,3.8461538461538463,,,,75.87412587412588,24.125874125874127,,,,,,173156.0,0.0,-1.0,0.0,1.0,31152.043360433603,173156.0,11668260.0,www.theindependencecenter.org,370,13581012.0
937,84-1113831,Western Resource Advocates,Boulder,CO,17.0,5.88235294117647,11.76470588235294,17.647058823529413,,11.76470588235294,,52.94117647058824,,,,,47.05882352941176,52.94117647058824,,,,,,9.0,,,11.11111111111111,,,,88.88888888888889,,,,,44.44444444444444,55.55555555555556,,,,,,64.0,1.5625,3.125,3.125,,1.5625,,84.375,4.6875,,1.5625,,62.5,34.375,1.5625,1.5625,,,,157117.0,194769.3333333333,19.331756539359382,0.75,0.25,57637.38554216868,254026.0,5525328.0,WWW.WESTERNRESOURCEADVOCATES.ORG,87,11110162.0
938,84-1141078,Friendship Bridge,Lakewood,CO,14.0,,,28.57142857142857,,,,71.42857142857143,,,,,71.42857142857143,28.57142857142857,,,,,,6.0,,,33.33333333333333,,,,66.66666666666666,,,,,66.66666666666666,33.33333333333333,,,,,,199.0,,,,,,,,,,,,53.266331658291456,46.733668341708544,,,,,,166239.5,0.0,-1.0,0.0,1.0,394928.77777777775,176013.0,3886838.0,WWW.FRIENDSHIPBRIDGE.ORG,11,7954696.0
939,84-1166148,Water for People,Greenwood Village,CO,14.0,7.142857142857142,14.285714285714285,7.142857142857142,,,,64.28571428571429,7.142857142857142,,,,64.28571428571429,35.714285714285715,,,,,,6.0,,16.666666666666664,,,,,83.33333333333334,,,,,66.66666666666666,33.33333333333333,,,,,100.0,220.0,9.090909090909092,27.27272727272727,36.36363636363637,,,,18.181818181818183,9.090909090909092,,,,50.0,40.909090909090914,9.090909090909092,,,,,280860.0,190330.5,-47.56436829620056,0.6666666666666666,0.3333333333333333,187193.93103448275,280860.0,11518769.0,WWW.WATERFORPEOPLE.ORG,61,41191880.0
940,84-1212246,Urban Peak Denver,DENVER,CO,25.0,12.0,12.0,4.0,,,,72.0,,,,,,,,,,,,4.0,,,50.0,,,,50.0,,,,,75.0,25.0,,,,,100.0,83.0,1.2048192771084338,18.072289156626507,8.433734939759036,,,,62.65060240963856,9.63855421686747,,,,66.26506024096386,24.09638554216868,9.63855421686747,,,,,209314.0,0.0,-1.0,0.0,1.0,43196.89166666667,209314.0,5392941.0,WWW.URBANPEAK.ORG,121,13197874.0
