,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
10706,12317,28721,1058905,270085899.0,228298.0,0.0,-1.0,0.0,100.0,25654.590551181103,228298.0,10002697.0,WWW.ABILITY-PLUS.ORG,382,16334409.0,ABILITY PLUS INC,100.0,50.0,60.0,,
10707,12318,28726,1059314,270155624.0,310741.0,376075.0,17.37259855082098,71.42857142857143,28.57142857142857,32732.296625222025,568689.0,20930140.0,,570,34339776.0,BONITA BAY CLUB,20.0,40.0,33.33333333333333,,
10709,12321,28730,1059410,270174003.0,181609.66666666663,0.0,-1.0,0.0,100.0,31520.44537815126,229315.0,4295762.0,WWW.VALLEYCHARTERSCHOOL.ORG,122,8215535.0,VALLEY CHARTER SCHOOL,100.0,100.0,50.0,,
10711,12325,28743,1060032,270270731.0,238063.4,272649.8571428572,12.68530176589651,58.333333333333336,41.66666666666667,57410.64220183486,413625.0,9356626.0,WWW.TAFCARES.ORG,121,288357934.0,The Assistance Fund Inc,40.0,75.0,20.0,60.0,
10713,12327,28751,1060748,270391310.0,172352.0,224072.0,23.081866542896925,50.0,50.0,63617.75,224072.0,4976902.0,,74,9384123.0,LOS ANGELES EDUCATION CORPSCHARTER SCHOOL,50.0,66.66666666666666,50.0,,
10715,12329,28755,1061062,270445486.0,183822.0,0.0,-1.0,0.0,100.0,24201.34726688103,183822.0,7710441.0,WWW.JUDEVINE.ORG,312,10280745.0,JUDEVINE INC,,25.0,60.0,,
10716,12331,28759,1061396,270502649.0,0.0,157903.0,100.0,100.0,0.0,43979.63095238096,157903.0,3852192.0,www.cookinletnativeheadstart.net,85,6716000.0,Cook Inlet Native Head Start,100.0,66.66666666666666,40.0,,
10718,12333,28761,1061621,270544143.0,195902.0,0.0,-1.0,0.0,100.0,30367.78156996587,195902.0,9093662.0,WWW.METROCRISISSERVICES.ORG,294,12739254.0,METRO CRISIS SERVICES INC,100.0,22.22222222222222,40.0,,
10719,12334,28767,1062273,270649868.0,0.0,201647.0,100.0,100.0,0.0,42414.56790123456,201647.0,3637227.0,HTTP://WWW.IHSNOLA.ORG,82,6334883.0,VOICES FOR INTERNATIONAL BUSINESS ANDEDUCATION,,45.45454545454545,,0.0,
10721,12337,28772,1062588,270704516.0,490453.0,767618.0,36.10715225541871,66.66666666666666,33.33333333333333,,0.0,2599587.0,WWW.ESKATON.ORG,98,4663485.0,ESKATON VILLAGE-PLACERVILLE,,69.23076923076923,33.33333333333333,,
10722,12339,28774,1062604,270707394.0,285868.0,461735.0,38.08829740002383,50.0,50.0,42106.495192307695,313262.0,9225258.0,WWW.MONTECEDRO.ORG,216,21405449.0,MONTECEDRO INC,50.0,36.36363636363637,66.66666666666666,0.0,
10724,12343,28785,1063035,270777846.0,193252.25,333471.3333333333,42.04831699676333,42.85714285714285,57.14285714285714,31370.337423312885,537887.0,17113518.0,WWW.DALLASZOO.COM,496,31361458.0,DALLAS ZOO MANAGEMENT INC,80.0,,25.0,,
10725,12344,28786,1063046,270780019.0,0.0,175924.0,100.0,100.0,0.0,26271.357723577235,175924.0,3407301.0,WWW.SEATTLEUNITED.COM,124,6242132.0,SEATTLE UNITED FC,0.0,60.0,20.0,,
