Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
6915,7932,17593,519013,381796409,336901.4,307738.5,-9.476519837459408,61.53846153846154,38.46153846153847,53872.15625,763265.0,28281141.0,WWW.FRANKENMUTHCU.ORG,461,67769311.0,CREDIT UNIONS CHARTERED IN THE STATE OFMICHIGAN FRANKENMUTH CREDIT UNION,20.0,57.14285714285714,50.0,16.666666666666664,
6916,7933,17595,519112,381814318,194433.0,0.0,-1.0,0.0,100.0,22151.9587628866,194433.0,2343173.0,WWW.FIVECAP.ORG,98,4513370.0,FIVECAP INC,,58.333333333333336,50.0,,
6917,7934,17597,519185,381844068,0.0,256020.0,100.0,100.0,0.0,38214.32307692308,256020.0,5223882.0,WWW.COMMUNITYWESTCU.ORG,131,10973048.0,CREDIT UNIONS CHARTERED IN THE STATE OFMICHIGAN,,50.0,50.0,,
6918,7935,17600,519217,381850908,174719.5,0.0,-1.0,0.0,100.0,44841.67507886436,212458.0,14913689.0,WWW.LAKESHORELEGALAID.ORG,321,17068839.0,LAKESHORE LEGAL AID,50.0,60.0,50.0,,
6919,7936,17601,519302,381868217,158128.0,0.0,-1.0,0.0,100.0,32108.20197044335,158128.0,6676093.0,EAGLEVILLAGE.ORG,204,12638018.0,EAGLE VILLAGE INC,,28.57142857142857,66.66666666666666,,
6922,7939,17606,519330,381872660,201283.0,0.0,-1.0,0.0,100.0,21691.75939849624,201283.0,5971291.0,WWW.STANNSHOME.COM,267,8762695.0,ST ANN'S HOME INC,100.0,100.0,100.0,,
6923,7940,17607,519335,381873419,228110.5,0.0,-1.0,0.0,100.0,26181.62568306011,282806.0,10038696.0,WWW.JSLMI.ORG,368,13593643.0,JEWISH APARTMENTS AND SERVICES INC,,55.55555555555556,53.333333333333336,,
6924,7941,17608,519336,381873461,162195.0,0.0,-1.0,0.0,100.0,32433.210065645515,162195.0,29806149.0,WWW.NEMCSA.ORG,915,64476434.0,NORTHEAST MICHIGAN COMMUNITYSERVICE AGENCY INC,100.0,48.57142857142857,71.42857142857143,,
6926,7943,17610,519366,381878763,0.0,281996.0,100.0,100.0,0.0,52984.65555555555,281996.0,5050615.0,preferredcu.org,91,13405718.0,Preferred Credit Union,,42.85714285714285,66.66666666666666,,
6928,7945,17612,519386,381882096,0.0,221427.5,100.0,100.0,0.0,49559.454545454544,273240.0,3168625.0,WWW.THEWRIGHT.ORG,57,20198151.0,MUSEUM OF AFRICAN AMERICAN HISTORY,,33.33333333333333,50.0,,
6929,7946,17614,519430,381893519,0.0,155082.0,100.0,100.0,0.0,77545.83916083915,155082.0,11244137.0,HTTP://WWW.ITCMI.ORG,144,23579459.0,INTER-TRIBAL COUNCILOF MICHIGAN INC,,50.0,50.0,,
6930,7947,17619,519515,381907619,154718.0,187648.0,17.54881480218281,50.0,50.0,43849.42028985507,187648.0,3367976.0,https://bloomcu.org/,71,10150900.0,Bloom Credit Union,,28.57142857142857,33.33333333333333,,
6932,7949,17623,519566,381916505,111439.0,0.0,-1.0,0.0,100.0,32261.126984126982,111439.0,2143890.0,WWW.OZONEHOUSE.ORG,64,3080644.0,OZONE HOUSE INC,,80.0,50.0,,100.0
6933,7950,17624,519569,381918221,0.0,150798.0,100.0,100.0,0.0,29819.490566037737,150798.0,14374695.0,WWW.WEDGWOOD.ORG,478,18911597.0,WEDGWOOD CHRISTIAN SERVICES,100.0,45.45454545454545,25.0,,
6935,7952,17631,519676,381957176,0.0,175153.0,100.0,100.0,0.0,86730.63758389262,175153.0,13098018.0,UPCAP.ORG,150,32806774.0,UPCAP SERVICES INC,,35.714285714285715,0.0,,
6938,7956,17637,519831,381997712,222421.5,182032.0,-22.188131757053707,33.33333333333333,66.66666666666666,38237.73417721519,248991.0,15730780.0,WWW.COMMONGROUNDHELPS.ORG,398,22245604.0,COMMON GROUND,80.0,44.44444444444444,85.71428571428571,,
6942,7961,17645,519955,382025701,214617.66666666663,0.0,-1.0,0.0,100.0,5370.001640240569,234934.0,10465586.0,WWW.WSKILLS.COM,1832,14469835.0,WORK SKILLS CORPORATION,80.0,41.66666666666667,25.0,100.0,
6943,7962,17648,519992,382032352,0.0,150945.0,100.0,100.0,0.0,28598.128205128207,150945.0,2381599.0,WWW.MIDMICHIGANRECOVERYSERVICE.ORG,79,3018178.0,MID-MICHIGAN RECOVERY SERVICES INC,,50.0,40.0,,
