Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
16754,19328,44539,1836200,954531774,281724.0,230821.8,-22.052596418535863,71.42857142857143,28.57142857142857,69898.22857142857,441963.0,9056871.0,WWW.FILMLA.COM,112,14666382.0,FILMLA INC,20.0,58.333333333333336,42.85714285714285,50.0,
16756,19330,44542,1836267,954538269,449203.0,488210.375,7.989870145631378,61.53846153846154,38.46153846153847,28030.78720787208,1042970.0,74518788.0,WWW.FRONTPORCH.NET,2452,196510411.0,Front Porch Communities and Services,60.0,61.53846153846154,20.0,20.0,
16757,19331,44543,1836271,954538450,0.0,206546.0,100.0,100.0,0.0,49767.08955223881,268670.0,4160579.0,WWW.SOSC.ORG,71,14976482.0,SPECIAL OLYMPICS SOUTHERNCALIFORNIA INC,25.0,31.25,33.33333333333333,,
16758,19332,44544,1836286,954540326,226938.875,319317.1818181818,28.929951809101752,57.89473684210527,42.10526315789473,14226.164556962023,600071.0,6451867.0,WWW.CENTURY.ORG,98,33491484.0,CENTURY HOUSING CORPORATION,80.0,44.44444444444444,35.714285714285715,,
16759,19333,44547,1836348,954545540,0.0,180625.0,100.0,100.0,0.0,27852.284210526315,180625.0,2826592.0,WWW.CDIKIDS.ORG,96,4450678.0,Child Development Institute,,57.14285714285714,60.0,0.0,
16760,19335,44552,1836449,954553889,0.0,318693.0,100.0,100.0,0.0,59414.131868131866,318693.0,5725379.0,WWW.TODAYSFRESHSTART.ORG,92,9455733.0,TODAYS FRESH START CHARTER SCHOOL,,80.0,0.0,,
16761,19336,44553,1836497,954557774,43722.25,22615.666666666668,-93.32726575972409,42.85714285714285,57.14285714285714,66791.0925925926,75111.0,3849455.0,www.thehelpgroup.org,61,6294506.0,Summit View School,,20.0,50.0,,
16763,19338,44558,1836721,954580280,218487.0,0.0,-1.0,0.0,100.0,17984.82905982906,218487.0,2322712.0,www.esperanzaservices.com,118,3080241.0,ESPERANZA CHARITIES INC,,33.33333333333333,100.0,,
16764,19339,44566,1836978,954603048,0.0,165000.0,100.0,100.0,0.0,9056.891891891892,165000.0,835210.0,WWW.NOLIMITSFORDEAFCHILDREN.ORG,75,1747170.0,NO LIMITS THEATER GROUP INC,,70.58823529411765,66.66666666666666,,
16765,19342,44580,1837273,954628412,0.0,173671.0,100.0,100.0,0.0,51082.24242424242,173671.0,3545099.0,WWW.COUNSELING4KIDS.ORG,67,5112372.0,COUNSELING4KIDS INC,,0.0,20.0,,
16766,19348,44598,1837840,954681287,230810.4,360506.0,35.97598930392282,28.57142857142857,71.42857142857143,94257.30898876404,488748.0,35430666.0,THETREVORPROJECT.ORG,363,64964527.0,TREVOR PROJECT INC,80.0,66.66666666666666,44.44444444444444,,
16767,19350,44606,1838203,954712218,477482.6666666667,565712.0909090909,15.596170854443091,64.70588235294117,35.294117647058826,254168.6690391459,1050755.0,80509125.0,WWW.ICANN.ORG,298,167893854.0,Internet Corporation for Assigned Names and Numbers,40.0,27.77777777777778,16.666666666666664,50.0,
16768,19351,44608,1838214,954712641,0.0,195360.0,100.0,100.0,0.0,34151.22171945701,195360.0,7742780.0,HTTPS://CHRISTCENTEREDMINISTRIES.ORG/,222,13458260.0,CHRIST-CENTERED MINISTRIES,100.0,50.0,25.0,,
16769,19352,44611,1838363,954723901,0.0,250739.0,100.0,100.0,0.0,56158.75471698113,250739.0,3227153.0,www.phadvocates.org,54,5686275.0,PUBLIC HEALTH ADVOCATES,,100.0,50.0,,
