Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
9828,11251,25290,752351,610458374,171994.0,305606.0,43.72034580472896,57.14285714285714,42.85714285714285,25441.937093275486,442188.0,25195872.0,WWW.MASONICHOMESKY.ORG,929,43584418.0,MASONIC HOMES OF KENTUCKY INC,80.0,5.555555555555555,33.33333333333333,,
9830,11253,25293,752386,610461840,168192.0,200571.0,16.143410562843084,75.0,25.0,71724.13333333333,225343.0,5073353.0,WWW.PRTCNET.ORG,64,21635112.0,PEOPLES RURAL TELEPHONECOOPERATIVE CORPORATION,33.33333333333333,33.33333333333333,25.0,0.0,
9831,11254,25294,752387,610461919,401532.4,1474670.6666666667,72.77138488774442,64.28571428571429,35.714285714285715,109001.7123115578,9396380.0,102045061.0,WWW.EKPC.COOP,810,954101068.0,EAST KENTUCKY POWER COOPERATIVE INC,40.0,0.0,22.22222222222222,0.0,
9832,11255,25295,752398,610463938,171043.0,0.0,-1.0,0.0,100.0,19715.42,171043.0,4114127.0,WWW.KYHUMANE.ORG,201,11144330.0,KENTUCKY HUMANE SOCIETY - ANIMALRESCUE LEAGUE INC,100.0,33.33333333333333,75.0,,
9833,11256,25297,752410,610467317,0.0,249531.5,100.0,100.0,0.0,88583.22680412371,289682.0,9091636.0,HTTP://WWW.MRTC.COM/,99,30286018.0,MOUNTAIN RURAL TELEPHONECOOPERATIVE CORPORATION,0.0,16.666666666666664,100.0,0.0,
9837,11262,25305,752456,610480100,395592.0,163692.5,-141.6677611985888,80.0,20.0,74443.793814433,395592.0,8271410.0,WWW.FOOTHILLS.NET,102,32969496.0,FOOTHILLS RURAL TELEPHONE COOPERATIVE,0.0,0.0,33.33333333333333,100.0,
9838,11263,25308,752488,610490868,153484.0,178726.0,14.123294875955372,50.0,50.0,34377.38613861386,178726.0,17692790.0,WWW.WENDELLFOSTER.ORG,507,23435620.0,WENDELL FOSTER'S CAMPUS FORDEVELOPMENTAL DISABILITIES INC,,41.66666666666667,57.14285714285714,,
9842,11268,25314,752619,610537626,0.0,169019.0,100.0,100.0,0.0,51352.607142857145,169019.0,4482638.0,WWW.YOURLEGALAID.ORG,85,5157827.0,LEGAL AID SOCIETY INC,,60.0,28.57142857142857,,
9843,11270,25318,752667,610568789,157299.0,0.0,-1.0,0.0,100.0,13153.521276595744,157299.0,1393730.0,BGCKY.ORG,95,3399558.0,THE BOYS & GIRLS CLUBS INC,,37.03703703703704,33.33333333333333,,
9845,11272,25322,752733,610595497,159664.5,139545.0,-14.417929700096742,33.33333333333333,66.66666666666666,39170.75,165287.0,13776929.0,RAMEYESTEP.COM,343,16078221.0,RAMEY-ESTEP HOMES INC,75.0,31.25,75.0,,
