Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
1,1,5,106,10142660,0.0,215956.5,100.0,100.0,0.0,14601.511627906975,279229.0,2315508.0,www.portlandcountryclub.org,131,5585841.0,Portland Country Club,20.0,20.0,20.0,,
2,2,9,164,10202467,156641.66666666666,178086.0,12.041560444579217,40.0,60.0,56794.53846153846,202795.0,5994400.0,HTTPS://MDIBL.ORG,96,21825438.0,MOUNT DESERT ISLAND BIOLOGICALLABORATORY,0.0,31.25,50.0,50.0,
3,3,11,190,10211485,215261.0,0.0,-1.0,0.0,100.0,12169.816666666668,215261.0,3136017.0,WWW.BANGORY.ORG,241,15937355.0,BANGOR YOUNG MEN'S CHRISTIANASSOCIATION,,40.0,50.0,,
5,6,14,206,10211508,0.0,188489.0,100.0,100.0,0.0,45208.74226804124,188489.0,4573737.0,www.gwh.org,98,7070394.0,Good Will Home Association,,20.0,40.0,,
6,8,16,208,10211512,183990.0,0.0,-1.0,0.0,100.0,29211.13157894737,183990.0,3514059.0,www.parkdanforth.com,115,7432134.0,Home for the Aged,,57.14285714285714,71.42857142857143,,
8,11,21,234,10211568,238627.0,0.0,-1.0,0.0,100.0,12990.41447368421,238627.0,4187713.0,YMCAOFSOUTHERNMAINE.ORG,305,6905493.0,YOUNG MENS CHRISTIAN ASSOCIATION OFSOUTHERN MAINE,0.0,57.14285714285714,60.0,,
10,13,23,248,10211807,277353.5,173406.5,-59.94411974176285,75.0,25.0,41134.10546875,284416.0,43716470.0,www.sweetser.org,1032,62475521.0,Sweetser,60.0,46.15384615384615,50.0,,
12,16,26,262,10212442,0.0,195073.0,100.0,100.0,0.0,32727.22950819672,225279.0,6379229.0,WWW.PINETREESOCIETY.ORG,185,9921182.0,PINE TREE SOCIETY INC,,33.33333333333333,57.14285714285714,,
14,20,31,293,10216328,213804.3333333333,219741.3333333333,2.70181304078735,66.66666666666666,33.33333333333333,72511.29896907216,378716.0,8993457.0,WWW.EVERGREENCREDITUNION.ORG,106,18374213.0,EVERGREEN CREDIT UNION,20.0,40.0,66.66666666666666,0.0,
16,23,36,330,10221344,0.0,194946.0,100.0,100.0,0.0,51638.045454545456,194946.0,3603057.0,www.bridgtonacademy.org,67,12393178.0,Bridgton Academy,0.0,25.0,0.0,,
20,31,45,407,10241767,188857.0,0.0,-1.0,0.0,100.0,65493.15384615384,188857.0,3594501.0,www.uwsme.org,53,13282477.0,United Way Inc,50.0,44.44444444444444,33.33333333333333,,
21,32,46,413,10243254,0.0,182302.0,100.0,100.0,0.0,27152.735064935063,182302.0,10636105.0,WWW.MORRISON-MAINE.ORG,386,18191979.0,MORRISON CENTER,,33.33333333333333,0.0,,
23,38,54,451,10263507,0.0,163626.0,100.0,100.0,0.0,47365.28767123288,163626.0,7078958.0,WWW.CENTRALAROOSTOOKASSOCIATION.COM,147,8687075.0,CENTRAL AROOSTOOK ASSOCIATION,,41.66666666666667,0.0,,
26,41,60,489,10269460,0.0,168544.0,100.0,100.0,0.0,24098.451612903227,168544.0,6144960.0,WWW.CHEWONKI.ORG,249,9681869.0,CHEWONKI FOUNDATION INC,100.0,31.25,37.5,,
27,43,62,504,10274725,163689.66666666666,184124.5,11.098378180705632,40.0,60.0,40119.37278106509,209981.0,27980014.0,www.opportunityalliance.org,681,84718963.0,The Opportunity Alliance,80.0,78.57142857142857,60.0,,
29,45,64,520,10277678,161789.5,0.0,-1.0,0.0,100.0,39261.50246305419,162866.0,16263749.0,WWW.KVCAP.ORG,408,54835180.0,KENNEBEC VALLEY COMMUNITY ACTIONPROGRAM,100.0,61.53846153846154,33.33333333333333,,
30,46,65,527,10278395,0.0,159897.0,100.0,100.0,0.0,34826.74297752809,166170.0,25116435.0,WOODFORDS.ORG,714,37650539.0,WOODFORDS FAMILY SERVICES,80.0,50.0,33.33333333333333,,
31,47,66,540,10280225,0.0,195443.0,100.0,100.0,0.0,26727.621993127148,215849.0,15946362.0,www.ccmaine.org,584,26893021.0,Catholic Charities Maine,33.33333333333333,42.85714285714285,25.0,,
32,48,67,544,10280723,397621.0,210071.5,-89.27888837848066,66.66666666666666,33.33333333333333,35266.46895074946,397621.0,17287205.0,www.beingcreativeworks.org,470,27513938.0,Creative Works,0.0,0.0,37.5,,
33,49,69,573,10284340,175748.33333333334,216490.0,18.819191032688188,40.0,60.0,17881.909189974573,256454.0,50189121.0,www.goodwillnne.org,2758,85182880.0,Goodwill Industries of Northern NE,60.0,46.66666666666666,42.85714285714285,,
35,51,73,621,10315296,214803.0,203751.0,-5.42426785635408,25.0,75.0,74434.33333333333,276071.0,4644311.0,,55,13114873.0,AVESTA HOUSING DEVELOPMENT CORPORATION,,47.368421052631575,80.0,,
36,52,74,632,10317103,192929.0,0.0,-1.0,0.0,100.0,41108.135294117645,192929.0,7181312.0,WWW.SENIORSPLUS.ORG,171,28228378.0,SENIORSPLUS,,57.14285714285714,33.33333333333333,,
37,53,75,639,10317679,0.0,240519.0,100.0,100.0,0.0,46686.14814814815,240519.0,5282623.0,WWW.MAINEFAMILYPLANNING.ORG,109,10393350.0,FAMILY PLANNING ASSOCIATION OFMAINE INC,,90.0,66.66666666666666,,
38,54,76,656,10319802,247505.0,265054.75,6.621179209201118,80.0,20.0,40367.9199676637,386873.0,51242841.0,www.spurwink.org,1242,80108278.0,Spurwink Services Inc,60.0,37.5,28.57142857142857,,
43,59,84,851,10347504,191304.5,187736.66666666663,-1.9004456597006496,42.85714285714285,57.14285714285714,75092.62903225806,253594.0,5984171.0,WWW.CEIMAINE.ORG,69,13614519.0,COASTAL ENTERPRISES INC,80.0,56.52173913043478,50.0,,
46,62,87,947,10355212,0.0,173506.0,100.0,100.0,0.0,24759.60784313725,173506.0,2698986.0,WWW.MSMT.ORG,103,6493645.0,MAINE STATE MUSIC THEATRE,,90.0,28.57142857142857,,
47,63,89,955,10355896,177124.0,180962.5,2.1211576984181804,50.0,50.0,45310.41354723708,182833.0,51554457.0,WWW.JFMH.ORG,1126,68552794.0,JOHN F MURPHY HOMES INC,60.0,41.66666666666667,33.33333333333333,,
48,64,91,1031,10360259,173815.0,0.0,-1.0,0.0,100.0,36904.32786885246,173815.0,2424979.0,www.smaaa.org,62,5037771.0,Southern Maine Agency on Aging,100.0,44.44444444444444,83.33333333333334,,
49,66,97,1181,10369904,171393.0,0.0,-1.0,0.0,100.0,38213.01102941176,171393.0,10565332.0,casamaine.org,273,14311360.0,CASA INC,,33.33333333333333,40.0,,
52,69,100,1310,10378420,210447.5,576907.0,63.521416796814734,33.33333333333333,66.66666666666666,42913.91129032258,576907.0,6319127.0,www.portlandmuseum.org,127,21796721.0,Portland Museum of Art,100.0,54.285714285714285,50.0,,
55,73,106,1601,10414169,0.0,151186.0,100.0,100.0,0.0,20430.71361502348,193189.0,4654114.0,THEWOODLANDS.ORG,215,8041545.0,THE WOODLANDS CLUB,0.0,40.0,50.0,0.0,0.0
56,74,107,1619,10418917,0.0,190304.0,100.0,100.0,0.0,37032.60969387755,190304.0,14707087.0,PREBLESTREET.ORG,393,24166217.0,PREBLE STREET,66.66666666666666,53.84615384615385,40.0,,
60,78,118,2159,10476545,268581.0,0.0,-1.0,0.0,100.0,32332.41085271318,268581.0,4439462.0,WWW.MAINEGARDENS.ORG,130,23280988.0,COASTAL MAINE BOTANICAL GARDENS IN,,47.368421052631575,80.0,100.0,
61,79,120,2225,10481696,277072.5,150054.0,-84.64852653044905,33.33333333333333,66.66666666666666,36299.90625,150054.0,3634845.0,www.birchbayvillage.us,99,5713301.0,Birch Bay Retirement Village,,40.0,33.33333333333333,,
62,80,122,2424,10496258,234914.5,319272.5,26.421943637488354,50.0,50.0,31169.3198757764,420547.0,11144895.0,www.pipershores.org,326,23531278.0,Maine Life Care Retirement Community Inc,80.0,46.66666666666666,50.0,,
63,81,123,2480,10500427,194112.0,0.0,-1.0,0.0,100.0,26348.28402366864,194112.0,4646972.0,www.connectionsforkids.org,170,7121429.0,Connections For Kids,,20.0,33.33333333333333,,
64,82,130,2677,10515381,0.0,165613.0,100.0,100.0,0.0,51979.84375,165613.0,3492323.0,www.briwildlife.org,65,6111584.0,BIODIVERSITY RESEARCH INSTITUTE,,100.0,75.0,,
69,88,155,3512,10648561,163869.0,0.0,-1.0,0.0,100.0,13215.132352941177,163869.0,1062498.0,WWW.HEALTH360.ORG,69,1220499.0,HEALTH360 INC,,40.0,33.33333333333333,,
71,91,158,3566,10672424,216508.0,0.0,-1.0,0.0,100.0,46401.9748603352,264415.0,17044923.0,NASHOBALEARNINGGROUP.ORG,360,20934730.0,NASHOBA LEARNING GROUP INC,80.0,0.0,100.0,,
72,94,166,3861,10779341,283776.0,159815.0,-77.56530988955981,50.0,50.0,,0.0,5144415.0,WWW.CCLDELAWARE.ORG,155,7170511.0,CHOICES FOR COMMUNITY LIVING-DELAWAREINC,,20.0,20.0,,
73,95,169,3917,10801820,216429.5,174951.0,-23.708638418757253,33.33333333333333,66.66666666666666,84691.43478260869,273550.0,12295228.0,WWW.CAMDENCMO.ORG,141,17210381.0,CAMDEN COUNTY PARTNERSHIP FOR CHILDRENINC,,55.55555555555556,66.66666666666666,,
74,96,172,4179,10939141,0.0,169202.0,100.0,100.0,0.0,64187.54385964912,169202.0,3827892.0,www.rocunited.org,58,5354464.0,RESTAURANT OPPORTUNITIES CENTERS UNITED INC,66.66666666666666,100.0,50.0,,0.0
75,97,173,4297,16006001,291171.0,177249.0,-64.2722949071645,81.81818181818183,18.181818181818183,72812.29213483146,355922.0,8657877.0,www.bigelow.com,100,20387195.0,Bigelow Laboratory for Ocean Sciences,20.0,41.17647058823529,33.33333333333333,16.666666666666664,
76,98,175,4756,16020406,181540.0,221932.75,18.20044585578289,57.14285714285714,42.85714285714285,47194.95611285266,259402.0,16487542.0,WWW.YCCAC.ORG,326,58188048.0,YORK COUNTY COMMUNITY ACTIONCORPORATION,0.0,40.0,75.0,,
77,99,176,4759,16020566,153148.0,0.0,-1.0,0.0,100.0,30134.03723404256,153148.0,5818347.0,WWW.WALDOCAP.ORG,189,19879626.0,WALDO COMMUNITY ACTION PARTNERS,,47.05882352941176,66.66666666666666,,
79,102,179,4840,16023748,189194.3333333333,0.0,-1.0,0.0,100.0,42370.985074626864,226679.0,31794999.0,www.penquis.org,740,95667041.0,Penquis CAP Inc,60.0,53.333333333333336,71.42857142857143,,
