Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
15519,17904,41672,1778386,930857426,192888.0,201680.0,4.359381197937327,66.66666666666666,33.33333333333333,7838.038888888889,221744.0,4828789.0,WWW.WORKSYSTEMS.ORG,543,25074148.0,Worksystems Inc,,28.57142857142857,40.0,,
15520,17905,41685,1778742,930891433,182194.0,0.0,-1.0,0.0,100.0,30310.556074766355,182194.0,6668653.0,WWW.PATHWAY-INC.ORG,215,12128797.0,PATHWAY ENTERPRISES INC,,33.33333333333333,100.0,,
15521,17906,41686,1778749,930892794,0.0,187606.0,100.0,100.0,0.0,96037.86,187606.0,4989499.0,,51,5865515.0,SOUTHERN OREGON PUBLIC DEFENDER INC,40.0,33.33333333333333,0.0,,
15522,17907,41688,1778759,930893420,195313.66666666663,171708.25,-13.7473980817268,57.14285714285714,42.85714285714285,43069.84496124031,235386.0,6828784.0,WWW.UFCW555.COM,136,16243815.0,UNITED FOOD & COMMERCIAL WORKERSLOCAL 555,25.0,,40.909090909090914,,
15524,17909,41691,1778840,930900577,160113.0,0.0,-1.0,0.0,100.0,22325.686084142395,160113.0,7058750.0,WORKUNLIMITED.ORG,310,9353621.0,WORK UNLIMITED INC,100.0,66.66666666666666,33.33333333333333,100.0,
15525,17910,41692,1778867,930903383,0.0,203325.0,100.0,100.0,0.0,63767.84563758389,203325.0,9704734.0,WWW.CASCADEAIDS.ORG,150,23272865.0,CASCADE AIDS PROJECT,,27.27272727272727,40.0,,
15527,17912,41699,1779433,930936063,0.0,142308.0,100.0,100.0,0.0,21796.88059701493,142308.0,1602699.0,WWW.MSCSBEND.ORG,68,3770202.0,MORNING STAR CHRISTIAN SCHOOL,,,33.33333333333333,,0.0
15528,17913,41706,1779624,930958642,378947.0,237993.0,-59.226111692360696,77.77777777777779,22.22222222222222,-11417.255813953489,577053.0,1441961.0,OTEC.COOP,95,59383158.0,OREGON TRAIL ELECTRICCONSUMERS COOPERATIVE INC,,16.666666666666664,40.0,,
15531,17916,41710,1779792,930979064,0.0,167099.0,100.0,100.0,0.0,68014.81132075471,167099.0,3771884.0,WWW.HACIENDACDC.ORG,54,15053915.0,HACIENDA COMMUNITY DEVELOPMENTCORP,50.0,50.0,28.57142857142857,,
15532,17917,41711,1779806,930980637,157907.0,153101.0,-3.1391042514418586,50.0,50.0,34912.24675324676,157907.0,29881681.0,WWW.PCLPARTNERSHIP.ORG,849,36313946.0,PARTNERSHIPS IN COMMUNITY LIVING INC,80.0,33.33333333333333,57.14285714285714,,
15533,17918,41712,1779842,930984702,173218.0,0.0,-1.0,0.0,100.0,37001.37638376384,173218.0,10200591.0,WWW.CS-INC.ORG,272,14847053.0,COMMUNITY SERVICES INC,,50.0,50.0,,
15534,17919,41714,1779911,930992063,0.0,299537.0,100.0,100.0,0.0,44351.11811023622,299537.0,5932129.0,WWW.SDFRENCHSCHOOL.ORG,128,9765170.0,SAN DIEGO FRENCH-AMERICAN SCHOOL,0.0,80.0,28.57142857142857,,
