Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
14137,16321,37719,1449265,770315997,179324.0,0.0,-1.0,0.0,100.0,48392.3962264151,204370.0,3102769.0,WWW.FASSV.ORG,56,4818533.0,FRENCH AMERICAN SCHOOL OF SILICON VALLEY,0.0,75.0,66.66666666666666,,0.0
14139,16323,37723,1449343,770320851,152954.0,0.0,-1.0,0.0,100.0,62852.94642857143,152954.0,3672719.0,CCFOODBANK.ORG,57,95910819.0,CENTRAL CALIFORNIA FOOD BANK,,30.0,44.44444444444444,,
14140,16324,37724,1449388,770323115,0.0,215369.0,100.0,100.0,0.0,39261.125,215369.0,3984437.0,WWW.UNITYCARE.ORG,97,8046309.0,THE UNITY CARE GROUP,,60.0,16.666666666666664,,
14141,16325,37725,1449398,770323989,155103.0,0.0,-1.0,0.0,100.0,13431.123287671233,155103.0,1135575.0,,74,1471560.0,SAN FELIPE SUPPORTED LIVING INC,,50.0,50.0,,
14142,16326,37726,1449413,770324453,0.0,167253.0,100.0,100.0,0.0,11697.504739336491,167253.0,5103600.0,www.cym.us,423,6312813.0,Community Youth Ministries,,100.0,0.0,,
14143,16327,37730,1449527,770332438,276848.0,0.0,-1.0,0.0,100.0,38787.25675675676,276848.0,3147105.0,WWW.EDUCARESERVICESINC.COM,75,4086105.0,EDUCARE SERVICES INC,,100.0,100.0,,
14144,16329,37736,1449756,770349298,0.0,200931.66666666663,100.0,100.0,0.0,30124.832,241229.0,4368399.0,WWW.QUARRYINFO.COM,128,12256186.0,THE QUARRY AT LA QUINTA INC,,0.0,33.33333333333333,,
14145,16330,37739,1449788,770354277,176678.0,0.0,-1.0,0.0,100.0,57217.21138211382,176678.0,7214395.0,WWW.ESCUELAPOPULAR.ORG,124,14055995.0,ESCUELA POPULAR DEL PUEBLO,,100.0,57.14285714285714,,
14146,16331,37740,1449846,770359133,164488.0,0.0,-1.0,0.0,100.0,32541.337209302324,164488.0,2963043.0,www.risingsunopp.org,87,5700140.0,Rising Sun Center for Opportunityfka RISING SUN ENERGY CENTER,,37.5,60.0,,
14147,16332,37741,1449855,770359848,186230.66666666663,236353.0,21.20655685916123,57.14285714285714,42.85714285714285,29877.226666666666,243230.0,3463896.0,WWW.CHARITIESHOUSING.ORG,82,9533186.0,CHARITIES HOUSING DEVELOPMENT CORPOF SANTA CLARA COUNTY,60.0,0.0,0.0,66.66666666666666,
14149,16336,37751,1450249,770387535,163571.0,168117.0,2.7040691899094083,33.33333333333333,66.66666666666666,44123.20218579235,176533.0,8569805.0,www.wpusa.org,186,14971452.0,Working Partnerships USA,,25.0,50.0,,
14151,16339,37763,1450571,770411194,156279.0,173335.0,9.83990538552514,50.0,50.0,38319.56603773585,173335.0,4391488.0,CA.CAIR.COM,108,7778802.0,COUNCIL ON AMERICAN-ISLAMIC RELATIONSCALIFORNIA,,55.55555555555556,40.0,,
14155,16343,37778,1451127,770448301,0.0,264600.0,100.0,100.0,0.0,21339.66183035714,264600.0,19384937.0,www.goodwillvsb.org,897,37782164.0,Goodwill Industries of Ventura and SantaBarbara Counties Inc,,40.0,25.0,,
14156,16344,37779,1451154,770450519,166665.0,0.0,-1.0,0.0,100.0,12162.971014492754,166665.0,1005910.0,,70,1476955.0,Serenity Group Homes Inc,,,50.0,,
14157,16346,37782,1451277,770458221,189969.0,0.0,-1.0,0.0,100.0,41809.82352941176,189969.0,4454571.0,WWW.HOUSINGCHOICES.ORG,103,5833856.0,HOUSING CHOICES COALITION FOR PERSONSWITH DEVELOPMENTAL DISABILITIES INC,,28.57142857142857,66.66666666666666,,
14159,16348,37788,1451490,770473475,154850.0,142525.0,-8.647605683213472,50.0,50.0,36535.11428571429,154850.0,2854833.0,,72,2907905.0,COURAGE TO CHANGE,,0.0,33.33333333333333,,
14161,16351,37793,1451638,770485756,0.0,157033.0,100.0,100.0,0.0,42531.221052631576,157033.0,4197499.0,WWW.ISMONTEREY.ORG,96,5466209.0,INTERNATIONAL SCHOOL OF MONTEREY,100.0,66.66666666666666,60.0,,
14162,16352,37795,1451641,770485881,216021.6,309186.3333333333,30.132228785446525,37.5,62.5,85099.96721311475,474952.0,7198765.0,WWW.VITAMINANGELS.ORG,69,131095448.0,VITAMIN ANGEL ALLIANCE INC,80.0,41.66666666666667,50.0,,
14164,16355,37803,1452003,770507525,277322.6,201389.0,-37.70493919727491,44.44444444444444,55.55555555555556,92468.6603773585,494231.0,7093008.0,WWW.COMPUTERHISTORY.ORG,62,9533407.0,COMPUTER HISTORY MUSEUM,60.0,41.02564102564102,42.85714285714285,,
14165,16356,37804,1452018,770508414,236057.0,0.0,-1.0,0.0,100.0,31361.98245614035,236057.0,2023690.0,WWW.HOPEAF.COM,58,3562798.0,FRESNO HOPE ANIMAL FOUNDATION,,100.0,100.0,,
14166,16357,37805,1452019,770508471,0.0,219984.0,100.0,100.0,0.0,28124.50980392157,219984.0,3088684.0,WWW.READINGANDBEYOND.ORG,103,7514000.0,READING AND BEYOND,,44.44444444444444,60.0,,
14167,16358,37809,1452146,770518457,188496.0,221193.5,14.782305990004229,66.66666666666666,33.33333333333333,39856.05780346821,283974.0,7525981.0,AGAPESCHOOLS.ORG,176,12825965.0,Agape Inc,0.0,,66.66666666666666,50.0,
14168,16359,37812,1452168,770519808,279943.5,335981.875,16.678987519788084,80.0,20.0,153816.70588235295,696983.0,11092394.0,WWW.WI-FI.ORG,61,19782142.0,WI-FI ALLIANCE,20.0,28.57142857142857,25.0,,
14169,16360,37813,1452213,770523038,0.0,163895.5,100.0,100.0,0.0,37450.60317460317,176959.0,2687179.0,,65,4328413.0,Elite Family Systems Inc,0.0,33.33333333333333,33.33333333333333,,
14170,16361,37816,1452361,770530703,151556.0,190980.0,20.642999266938947,50.0,50.0,48548.8313253012,190980.0,8401642.0,WWW.GISSV.ORG,168,15770684.0,GERMAN INTERNATIONAL SCHOOL OF SILICONVALLEY,50.0,60.0,70.0,,
14171,16362,37820,1452558,770545774,293924.0,0.0,-1.0,0.0,100.0,62820.69230769231,293924.0,3560600.0,WWW.HKIDSF.ORG,53,5858092.0,HEALTHIER KIDS FOUNDATION,100.0,57.14285714285714,75.0,100.0,
14172,16364,37824,1452705,770555413,245396.0,232189.22222222225,-5.68793747245422,90.0,10.0,70412.80208333333,281610.0,9094728.0,WWW.BENETECH.ORG,106,16053151.0,BENEFICENT TECHNOLOGY INC,0.0,50.0,40.0,25.0,
14173,16366,37831,1452977,770570969,0.0,182375.0,100.0,100.0,0.0,37901.3717948718,182375.0,3138682.0,WWW.GOLDRUSHCS.ORG,79,4867294.0,GOLD RUSH HOME STUDY CHARTER SCHOOL,,100.0,33.33333333333333,,
14174,16367,37838,1453606,770643134,126908.8,106700.0,-18.939831302717906,44.44444444444444,55.55555555555556,82351.89814814815,202364.0,27743359.0,WWW.CVSOUTH2.ORG,333,46139094.0,CRESCENT VIEW SOUTH INC,,50.0,50.0,,
14175,16368,37840,1453707,770653711,0.0,187416.0,100.0,100.0,0.0,7529.163708086785,187416.0,4004702.0,www.edventuremore.org,508,7273409.0,Edventure More,,66.66666666666666,50.0,,
14176,16371,37858,1454639,800063491,206424.0,0.0,-1.0,0.0,100.0,5177.034285714286,206424.0,2924367.0,WWW.RCAHYBRID.ORG,526,6895423.0,REGINA CAELI INC,,0.0,40.0,,
14178,16374,37871,1456434,800308638,0.0,171144.0,100.0,100.0,0.0,22084.283333333333,171144.0,2821258.0,http://theecologycenter.org/,121,4544260.0,ECOCENTER INC,,75.0,60.0,,
